"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"84","1","file:/data/kalbeck_2__0040_b.tif","/data/kalbeck_2__0040_b.tif","kalbeck_2__0040_b.tif","Signature","Done","57618897","File","tif","2026-05-20T06:54:06","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"85","1","file:/data/kalbeck_2__0039_a.tif","/data/kalbeck_2__0039_a.tif","kalbeck_2__0039_a.tif","Signature","Done","56936051","File","tif","2026-05-20T06:54:04","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"86","1","file:/data/kalbeck_2__0045_b.tif","/data/kalbeck_2__0045_b.tif","kalbeck_2__0045_b.tif","Signature","Done","56034089","File","tif","2026-05-20T06:54:17","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"87","1","file:/data/kalbeck_2__0043_a.tif","/data/kalbeck_2__0043_a.tif","kalbeck_2__0043_a.tif","Signature","Done","56514725","File","tif","2026-05-20T06:54:12","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"88","1","file:/data/kalbeck_2__0044_b.tif","/data/kalbeck_2__0044_b.tif","kalbeck_2__0044_b.tif","Signature","Done","56282277","File","tif","2026-05-20T06:54:15","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"89","1","file:/data/kalbeck_2__0045_a.tif","/data/kalbeck_2__0045_a.tif","kalbeck_2__0045_a.tif","Signature","Done","57424163","File","tif","2026-05-20T06:54:16","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"90","1","file:/data/kalbeck_2__0046_a.tif","/data/kalbeck_2__0046_a.tif","kalbeck_2__0046_a.tif","Signature","Done","57300549","File","tif","2026-05-20T06:54:18","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"91","1","file:/data/kalbeck_2__0043_b.tif","/data/kalbeck_2__0043_b.tif","kalbeck_2__0043_b.tif","Signature","Done","56656879","File","tif","2026-05-20T06:54:13","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"92","1","file:/data/kalbeck_2__0044_a.tif","/data/kalbeck_2__0044_a.tif","kalbeck_2__0044_a.tif","Signature","Done","58291117","File","tif","2026-05-20T06:54:14","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"93","1","file:/data/kalbeck_2__0047_a.tif","/data/kalbeck_2__0047_a.tif","kalbeck_2__0047_a.tif","Signature","Done","57690749","File","tif","2026-05-20T06:54:20","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"94","1","file:/data/kalbeck_2__0047_b.tif","/data/kalbeck_2__0047_b.tif","kalbeck_2__0047_b.tif","Signature","Done","54043071","File","tif","2026-05-20T06:54:21","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"95","1","file:/data/kalbeck_2__0048_a.tif","/data/kalbeck_2__0048_a.tif","kalbeck_2__0048_a.tif","Signature","Done","56394537","File","tif","2026-05-20T06:54:22","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
